gene,a375_lfq_average,a375_log_lfq,fm55_lfq,fm55_log_lfq,citation,citation_source
APOL2,46133.0,5.126228844606424,25645.166666666668,4.418276426420062,PMC9854651,pmcid
APPL1,163083.33333333334,4.5316938821786685,129448.33333333333,4.955466458660042,PMC9854651,pmcid
APPL2,80128.33333333333,5.015252845443515,63436.833333333336,5.19909711395847,PMC9854651,pmcid
APRT,481960.0,5.369036410941081,487676.6666666667,4.48005727218272,PMC9854651,pmcid
APTX,9044.5,4.536105816702626,7723.566666666667,5.135731448107108,PMC9854651,pmcid
AQR,45197.666666666664,5.3045479703345,18126.133333333335,3.8099624005475476,PMC9854651,pmcid
ARAF,62601.833333333336,4.009414065611712,62742.166666666664,2.7549086829004708,PMC9854651,pmcid
ARAP1,112472.33333333333,5.1092353400592225,67603.83333333333,5.150137039212994,PMC9854651,pmcid
ARAP3,57247.666666666664,4.54529886767938,56515.166666666664,4.412093580203219,PMC9854651,pmcid
ARCN1,587063.3333333334,4.782991890342691,586281.6666666666,4.505138668420508,PMC9854651,pmcid
ARF3;ARF1,746871.6666666666,4.395556441211343,930623.3333333334,4.208386259893824,PMC9854651,pmcid
ARF4,374865.0,5.177707683060496,406708.3333333333,5.12977579754661,PMC9854651,pmcid
ARF5,93797.0,4.893339094596448,98880.5,4.911574828321963,PMC9854651,pmcid
ARF6,163086.66666666666,4.519234971734583,166598.33333333334,4.515564784442465,PMC9854651,pmcid
ARFGAP1,203186.66666666666,4.5056812116327105,193155.0,4.348665002827652,PMC9854651,pmcid
ARFGAP2,213870.0,4.420401373436656,203548.33333333334,4.358965706913307,PMC9854651,pmcid
ARFGAP3,79094.33333333333,4.507039116082272,89833.16666666667,4.572267350134817,PMC9854651,pmcid
ARFGEF1,57123.166666666664,4.7184560149618076,39537.333333333336,4.404733965618783,PMC9854651,pmcid
ARFGEF2,109578.33333333333,5.5970549707156865,126266.66666666667,5.673655134605644,PMC9854651,pmcid
ARFIP1,78062.83333333333,4.823092274304397,74716.16666666666,4.804611425463125,PMC9854651,pmcid
ARFIP2,112329.0,6.012485711548059,112270.0,6.04530341553154,PMC9854651,pmcid
ARG2,15102.833333333334,5.670432955329953,,,PMC9854651,pmcid
ARHGAP1,676096.6666666666,5.332003948141588,510666.6666666667,5.584204913769017,PMC9854651,pmcid
ARHGAP12,77191.83333333333,6.928044894781208,72053.0,5.2130438031664825,PMC9854651,pmcid
ARHGAP17,124166.83333333333,6.0919481908785595,108741.5,6.927467033280925,PMC9854651,pmcid
ARHGAP18,195275.0,6.82638474808499,126505.33333333333,6.054657732760919,PMC9854651,pmcid
ARHGAP26,6758.166666666667,5.515754661190856,3025.0,6.703702544861859,PMC9854651,pmcid
ARHGAP29,51148.666666666664,6.589703915428496,6784.433333333334,5.486158812253689,PMC9854651,pmcid
ARHGAP35,86049.0,5.861153912973216,79219.83333333333,6.48061768932015,PMC9854651,pmcid
ARHGAP4,130596.66666666667,5.412913925823307,115198.33333333333,5.717172415062037,PMC9854651,pmcid
ARHGAP5,37880.333333333336,5.3464566449928945,43017.833333333336,5.3287260851987845,PMC9854651,pmcid
ARHGDIA,3876600.0,5.283108920345892,3392650.0,5.36728446469659,PMC9854651,pmcid
ARHGDIB,69137.33333333333,5.511542473096486,12051.116666666667,5.236566650105422,PMC9854651,pmcid
ARHGEF1,489135.0,5.245977147341041,461770.0,5.528751774118061,PMC9854651,pmcid
ARHGEF11,41324.0,4.938440497566648,38934.166666666664,5.20758500273912,PMC9854651,pmcid
ARHGEF12,31824.316666666666,5.274915663004724,70268.5,5.07226644535218,PMC9854651,pmcid
ARHGEF18,44355.0,4.95411461501205,40786.666666666664,5.259693403253757,PMC9854651,pmcid
ARHGEF2,228748.33333333334,5.5446074752008645,201328.33333333334,5.000485414618484,PMC9854651,pmcid
ARHGEF40,14434.183333333334,5.179556578335474,19725.666666666668,5.507610781337609,PMC9854651,pmcid
ARHGEF6,11720.166666666666,4.977590248791262,11561.0,5.181700704415961,PMC9854651,pmcid
ARHGEF7,146958.33333333334,5.243620852909535,165480.0,4.874810265173464,PMC9854651,pmcid
