gene,in_raghunath_168,in_darcy_s1_243,in_kegg_hsa04916,in_reactome_curated_union,in_reactome_r_hsa_5662702_precision,n_sets,darcy_phenotype_class,citation,citation_source,in_bajpai2023_crispr_169,bajpai_castle_effect,bajpai_q_value,bajpai_direction,bajpai_orphan_hit,n_sets_incl_bajpai
ZMPSTE24,False,True,False,False,False,1,Hyperpigmentation,PMC9854651 (D'Arcy & Kiel 2023 Table S1),accession_or_pmcid,False,,,,False,1
ZNF354A,False,True,False,False,False,1,Hypopigmentation,PMC9854651 (D'Arcy & Kiel 2023 Table S1),accession_or_pmcid,False,,,,False,1
AC002398.9,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.7,0.003627208,reduces_pigmentation,True,1
ACTR2,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.4,0.00019277,reduces_pigmentation,True,1
ACTR3,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.6,0.001568584,reduces_pigmentation,True,1
ALKBH8,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,0.8,0.0815365,reduces_pigmentation,True,1
AMBRA1,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,2.4,0.00019277,reduces_pigmentation,True,1
ANKRD27,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.7,0.00019277,reduces_pigmentation,True,1
AP1G1,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.9,0.00019277,reduces_pigmentation,True,1
AP1M1,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,2.3,0.00019277,reduces_pigmentation,True,1
ARL8B,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.3,0.01410458,reduces_pigmentation,True,1
ARPC3,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.2,0.004440765,reduces_pigmentation,True,1
ARPC4,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.3,0.068379321,reduces_pigmentation,True,1
ARPC4-TTLL3,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.4,0.008474593,reduces_pigmentation,True,1
ASCC2,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.3,0.005240291,reduces_pigmentation,True,1
ASCC3,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,2.1,0.00019277,reduces_pigmentation,True,1
ATP6V0A2,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.3,0.00019277,reduces_pigmentation,True,1
B4GALT1,False,False,False,False,False,0,,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid,True,1.5,0.009816257,reduces_pigmentation,True,1
